CallType,fund,sal,voice2percent,maxfund,minfund,cvfund,meanspect,stdspect,skewspect,kurtosisspect,entropyspect,q1,q2,q3,meantime,stdtime,skewtime,kurtosistime,entropytime,rms,maxamp
DC,718.140550,0.679848,29.126214,802.330074,380.908221,0.097156,4093.625336,1239.024808,0.041451,5.090103,0.783742,3576.269531,3957.738281,4887.568359,174.968984,37.973485,0.282797,1.978382,0.935014,0.077702,0.107318
DC,706.823313,0.575435,23.404255,832.272436,605.589541,0.111049,3946.029981,1143.037516,-0.504207,4.350968,0.769205,3314.009766,4076.947266,4768.359375,175.036863,37.461019,0.466145,2.175183,0.925326,0.060031,0.085317
DC,728.671778,0.724788,7.563025,814.464980,378.295181,0.087351,3673.955659,1304.755033,-0.524934,3.304624,0.778085,3147.117188,3933.896484,4649.150391,175.074636,37.479922,0.357716,2.084430,0.927168,0.044686,0.059409
DC,703.938212,0.721193,3.508772,797.115561,597.778237,0.066648,3692.978580,1207.675675,-0.576820,4.245511,0.741075,3242.484375,3981.580078,4148.472656,175.176079,36.888199,0.260154,1.980283,0.921801,0.044553,0.070497
DC,693.931013,0.690329,18.421053,770.447750,598.633969,0.057465,3760.471259,1282.716919,-0.486858,3.165065,0.788462,3290.167969,4005.421875,4720.675781,175.273514,38.174186,-0.101921,2.012272,0.938683,0.051934,0.057764
DC,674.710968,0.639420,20.909091,1274.757508,321.172793,0.145836,3683.755379,1249.535368,-0.273685,3.923872,0.780432,3242.484375,3862.371094,4482.257812,175.173111,40.060894,0.182094,2.005340,0.934547,0.050247,0.067542
DC,725.943523,0.661603,21.052632,827.934735,506.081042,0.065387,4155.488202,894.829371,-0.753947,5.861228,0.749528,3767.003906,4172.314453,4863.726562,175.014054,42.675285,0.152653,1.784170,0.936345,0.108567,0.136874
DC,696.299654,0.652264,22.429907,846.981275,602.374089,0.134702,4060.925547,1100.672658,-0.536588,5.225590,0.768187,3623.953125,4196.156250,4839.884766,174.703297,39.366785,0.326364,2.001441,0.932746,0.075958,0.110656
DC,710.307018,0.668789,22.330097,776.826674,651.671640,0.049666,3800.495389,1021.032044,-0.514217,4.998080,0.740877,3385.535156,3862.371094,4219.998047,174.945895,37.506178,0.055128,1.917440,0.940143,0.060742,0.069027
DC,715.578623,0.721951,24.509804,795.903400,424.214772,0.059241,3680.096577,1185.449986,0.050738,5.195398,0.732450,3480.902344,3576.269531,4196.156250,175.559197,34.457039,-0.244987,2.036050,0.948401,0.051607,0.055345
DC,708.049509,0.723909,10.169492,1269.758040,547.552968,0.154739,3896.846073,1466.760369,0.418994,3.160646,0.783917,2956.382812,3409.376953,5245.195312,175.203440,38.521630,0.145629,1.867526,0.927908,0.044298,0.058039
DC,694.138156,0.719583,4.854369,752.845112,550.911488,0.071939,3517.173554,1141.322699,-0.118696,5.033456,0.757157,2861.015625,3743.162109,4410.732422,175.072303,32.067856,0.430504,2.510470,0.913906,0.070276,0.099353
DC,693.621038,0.783818,2.564103,784.104578,524.099390,0.069534,3291.480449,1259.633786,-0.278464,3.050117,0.745355,2694.123047,3361.693359,4172.314453,175.056542,38.895100,0.259810,1.911247,0.937928,0.035336,0.045598
DC,698.887998,0.755589,12.711864,1205.521666,335.612063,0.136269,3736.748457,1082.803555,-0.537892,4.688523,0.689669,2789.490234,3862.371094,4553.783203,174.951572,39.642466,0.169830,1.708749,0.936929,0.042387,0.056810
DC,733.444943,0.719859,15.267176,1114.173417,664.754236,0.112153,3585.484163,1024.182190,-0.448549,5.460547,0.757395,3004.066406,3790.845703,4243.839844,175.067392,46.164372,0.163091,1.756026,0.952105,0.042103,0.057633
DC,733.035196,0.727424,6.086957,778.917700,666.888443,0.037020,3379.728915,1028.107626,-0.283177,4.839202,0.721396,2932.541016,3600.111328,3790.845703,175.332478,39.612816,-0.074572,1.856007,0.953919,0.051798,0.056007
DC,724.598610,0.825735,10.937500,834.526019,650.276926,0.047153,3434.447292,958.918152,-0.346158,5.090366,0.644408,3361.693359,3552.427734,3600.111328,175.279201,37.346434,-0.222059,1.963066,0.946781,0.059632,0.072097
DC,719.287903,0.620010,9.900990,797.549252,651.123945,0.046972,4055.081526,1104.406119,-0.578301,5.305010,0.797605,3576.269531,4291.523438,4577.625000,174.661996,40.488236,0.161602,1.813386,0.944730,0.093212,0.106906
DC,751.698643,0.701595,2.970297,812.993099,694.515082,0.043630,3976.212765,1171.943157,-0.643942,4.890623,0.767101,3600.111328,4315.365234,4553.783203,174.991327,38.292543,0.124319,1.895641,0.928261,0.065460,0.082898
DC,711.255474,0.805275,4.000000,787.431077,604.436564,0.057262,3275.306861,1337.713907,0.089859,3.686273,0.757808,2360.337891,3433.218750,3933.896484,174.903349,38.672974,0.016015,1.823513,0.953518,0.046170,0.043487
DC,702.660873,0.771448,1.754386,792.432654,610.798674,0.070774,3589.883126,1132.637492,-0.120008,4.559972,0.723073,3147.117188,3862.371094,4267.681641,174.827007,38.737571,0.266878,1.894004,0.929582,0.065692,0.091468
DC,723.446845,0.758373,2.419355,791.624539,671.987098,0.041778,3590.418249,1226.390896,-0.272791,3.613735,0.764065,3075.591797,3600.111328,4625.308594,175.133480,40.996503,-0.003380,1.832385,0.936497,0.047125,0.053472
DC,746.858479,0.745533,2.439024,839.175834,628.278698,0.068379,3516.532496,1200.824335,0.353029,5.049214,0.737981,3147.117188,3337.851562,4100.789062,175.109577,40.539675,0.252277,1.792314,0.923408,0.075445,0.115788
