"bfi1","bfi2","bfi3","bfi4","bfi5","bfi6","bfi7","bfi8","bfi9","bfi10","bfi11","bfi12","bfi13","bfi14","bfi15","bfi16","bfi17","bfi18","bfi19","bfi20","bfi21","bfi22","bfi23","bfi24","bfi25","bfi26","bfi27","bfi28","bfi29","bfi30","bfi31","bfi32","bfi33","bfi34","bfi35","bfi36","bfi37","bfi38","bfi39","bfi40","bfi41","bfi42","bfi43","bfi44","sexF","ethF","BFIE","BFIA","BFIC","BFIO","BFIN","inc.F","ed.dadF","ed.momF","TRNSF"
6,6,3,4,6,2,4,6,1,6,4,1,2,6,6,3,4,6,7,7,2,4,6,2,5,2,5,3,6,6,5,4,3,2,4,5,1,3,6,7,1,5,6,4,"F","AS",3.625,3.55555555555556,1.55555555555556,5.4,5.25,"> $150k","GD","GD","ucb"
7,3,6,3,6,2,5,5,4,6,6,5,6,5,6,6,5,5,5,7,2,6,5,6,6,6,4,6,4,7,3,5,6,5,4,7,4,5,4,6,3,5,5,6,"F","M",5.375,3.77777777777778,3.66666666666667,5.5,3,"35k - 50k","AD","AD","ucb"
5,1,4,5,3,2,4,6,6,3,5,1,5,5,3,4,6,6,2,3,3,6,2,3,3,6,5,6,5,3,2,6,5,6,2,7,1,5,2,3,4,4,5,2,"F","W",4.75,4.66666666666667,3.33333333333333,2.9,2.75,"> $150k","GD","MD","ucb"
7,2,6,1,4,4,5,3,3,7,2,6,6,6,7,5,5,2,6,5,4,5,2,3,4,4,2,6,5,2,5,7,4,6,6,6,1,5,6,6,3,7,5,2,"F","O",3.625,4.66666666666667,4.33333333333333,4,3.75,"> $150k","GD","GD","ucb"
6,5,3,6,7,2,5,5,5,4,7,2,3,5,7,7,7,5,5,7,2,4,6,1,5,4,4,6,7,7,2,5,3,4,5,7,5,6,2,7,1,7,6,7,"M","AS",5.375,4,2.55555555555556,5.7,4.125,"> $150k","MD","MD","ucb"
2,2,6,1,4,6,4,5,7,7,3,1,6,3,3,2,4,3,1,5,7,6,6,7,4,3,4,6,4,7,7,5,4,7,4,3,4,5,3,3,1,6,5,7,"F","AS",1.375,4.22222222222222,3.55555555555556,4.7,1.125,"25k - 35k","MD","CD","ucb"
4,3,5,2,4,5,5,5,5,6,5,2,6,4,3,5,5,5,6,6,5,5,5,5,4,3,4,6,5,5,6,6,5,5,4,4,3,5,3,4,3,6,4,3,"F","L",2.875,4.33333333333333,3.55555555555556,4,2.875,"25k - 35k","<HSD","<HSD","ucb"
3,3,6,1,4,5,6,5,5,6,6,2,6,5,4,5,5,2,5,5,5,6,5,5,3,5,3,6,3,5,5,6,6,5,3,4,3,6,5,6,3,5,5,4,"F","W",3.25,4.55555555555556,4.11111111111111,4.3,2.75,"> $150k","CD","MD","ucb"
7,2,7,1,6,3,7,2,7,7,7,3,7,2,5,6,7,1,3,7,2,7,1,7,6,7,3,7,5,7,2,7,7,7,3,7,4,7,2,6,2,7,1,6,"F","W",5.625,5.22222222222222,6,5.7,1.25,"> $150k","MD","MD","ucb"
6,4,7,1,4,2,7,5,3,6,5,2,7,4,3,5,7,2,5,3,2,6,2,3,5,3,2,7,5,5,5,6,6,5,5,6,4,5,5,5,2,5,6,4,"F","AS",4.25,4.77777777777778,4.55555555555556,4,3.375,"> $150k","MD","MD","ucb"
3,5,5,4,4,6,5,5,2,6,4,2,6,4,3,3,5,4,6,6,6,6,5,3,5,3,2,5,5,5,6,5,5,3,6,3,3,4,6,5,4,5,4,5,"F","AS",2,4.22222222222222,3.44444444444444,4.1,4.375,"75k - 100k","GD","MD",NA
6,5,6,6,5,3,5,3,2,6,5,2,6,6,6,6,5,3,7,6,3,6,3,2,5,3,3,6,6,7,4,6,6,2,3,6,3,6,7,7,2,5,4,6,"F","L",4.25,4.22222222222222,4.55555555555556,5.5,5.5,"50k - 75k","CD","<CD","ucb"
5,2,6,2,5,4,5,5,5,5,6,2,6,3,6,6,4,3,5,5,4,5,3,5,6,3,4,6,5,7,5,6,6,4,5,6,2,5,5,6,3,6,3,7,"F","AS",3.875,4.44444444444444,4.33333333333333,5.1,3,"50k - 75k","<CD","<CD","ucb"
5,5,7,3,4,4,5,2,5,5,5,2,7,4,6,5,6,3,6,5,4,6,3,4,4,7,2,7,5,5,4,7,7,5,4,5,3,6,6,7,4,7,4,4,"F","L",4.125,4.77777777777778,5.11111111111111,4.4,3.5,"15k - 25k","<HSD","<HSD",NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","AS",NA,NA,NA,NA,NA,NA,NA,NA,NA
7,5,5,2,5,2,3,5,4,5,6,5,5,5,3,6,5,3,5,3,2,4,4,4,3,6,3,4,4,5,3,4,4,4,3,6,4,5,4,4,3,5,5,3,"F","W",5.25,3.11111111111111,3.33333333333333,3.7,3.25,"100k - 150k","CD","CD","ucb"
6,3,7,2,6,2,7,1,3,5,6,2,5,5,4,7,5,2,5,4,1,7,1,2,5,3,3,7,5,4,3,5,4,4,5,6,3,4,3,5,4,6,6,2,"F","W",5,4.77777777777778,4.55555555555556,3.8,3.625,"> $150k","CD","GD","ucb"
5,5,5,2,4,4,5,5,2,5,4,4,6,6,6,5,4,2,7,3,5,5,6,5,3,4,5,5,6,5,5,5,5,6,6,5,6,6,6,6,6,6,5,4,"M","L",3.375,3.22222222222222,3.66666666666667,3.6,4,"25k - 35k","HSD","CD","ucb"
3,6,7,2,4,6,4,1,4,6,5,5,7,6,3,4,1,1,5,5,6,5,1,5,4,6,7,7,6,7,5,4,6,4,3,3,5,5,4,3,3,NA,4,7,"F","W",2.75,NA,5.44444444444444,4.5,3.5,"100k - 150k","MD","CD","ucb"
6,4,1,6,6,3,5,2,2,1,1,1,7,3,5,7,4,2,4,6,3,6,3,5,5,6,1,5,2,5,3,7,6,5,6,6,2,5,4,7,2,7,3,5,"F","AS",4.375,5,4.22222222222222,4.4,3.125,"> $150k","CD","MD","ucb"
6,3,7,1,6,3,6,2,4,5,7,1,7,2,5,7,6,2,5,6,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","AS",NA,NA,NA,NA,NA,"> $150k","CD","MD","ucb"
5,2,6,1,5,5,5,2,5,4,4,1,6,2,5,4,6,1,2,6,2,5,3,6,4,6,2,6,2,5,2,6,6,6,1,7,1,7,2,7,4,6,3,5,"F","AS",4.375,5.11111111111111,5.11111111111111,4.8,1.25,"35k - 50k","CD","MD","ucb"
6,2,6,1,3,2,5,1,6,6,6,2,6,2,6,5,6,1,1,2,2,6,2,6,2,6,2,6,2,2,2,6,6,6,1,6,3,6,2,6,2,6,2,2,"F","AS",5.125,4.88888888888889,5.33333333333333,3.8,1,"75k - 100k","MD","MD","ucb"
5,4,4,5,4,4,4,5,5,5,5,3,4,4,5,5,4,5,5,4,4,5,5,4,4,5,6,6,6,6,4,6,6,6,4,6,6,5,5,6,5,6,6,5,"M","AS",4,3.33333333333333,3.11111111111111,4.2,3.5,"25k - 35k","CD","CD",NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M","W",NA,NA,NA,NA,NA,NA,NA,NA,"ucb"
4,4,6,3,5,4,5,3,3,5,5,2,6,4,5,4,5,4,5,5,5,6,2,4,5,5,3,6,4,5,5,5,6,5,3,4,3,6,4,4,3,4,4,6,"M","W",3.25,4.11111111111111,4.55555555555556,4.6,3.25,"> $150k","CD","CD","ucb"
